swimming-pool 487.0 3647.0 520.0 3682.0
small-vehicle 1310.0 1307.0 1329.0 1326.0 difficult
small-vehicle 1462.0 1497.0 1481.0 1513.0 difficult
small-vehicle 1477.0 1484.0 1500.0 1504.0 difficult
small-vehicle 1495.0 1476.0 1512.0 1493.0 difficult
small-vehicle 1507.0 1466.0 1525.0 1483.0 difficult
small-vehicle 1520.0 1456.0 1541.0 1474.0 difficult
small-vehicle 1535.0 1449.0 1554.0 1464.0 difficult
small-vehicle 1550.0 1438.0 1569.0 1453.0 difficult
small-vehicle 1584.0 1413.0 1604.0 1432.0 difficult
small-vehicle 1600.0 1406.0 1616.0 1421.0 difficult
small-vehicle 1613.0 1395.0 1632.0 1412.0 difficult
small-vehicle 1631.0 1386.0 1649.0 1401.0 difficult
small-vehicle 1646.0 1375.0 1663.0 1391.0 difficult
small-vehicle 1675.0 1380.0 1692.0 1396.0 difficult
small-vehicle 1294.0 1345.0 1311.0 1357.0 difficult
small-vehicle 1332.0 1355.0 1349.0 1370.0 difficult
small-vehicle 1294.0 1334.0 1316.0 1350.0 difficult
small-vehicle 1301.0 1325.0 1319.0 1342.0 difficult
small-vehicle 1447.0 1509.0 1466.0 1526.0 difficult
small-vehicle 1431.0 1518.0 1448.0 1534.0 difficult
small-vehicle 839.0 1627.0 858.0 1641.0 difficult
small-vehicle 1001.0 1765.0 1013.0 1785.0 difficult
small-vehicle 1382.0 1790.0 1396.0 1810.0 difficult
small-vehicle 1389.0 1787.0 1406.0 1804.0 difficult
small-vehicle 1354.0 1734.0 1370.0 1756.0 difficult
small-vehicle 1365.0 1753.0 1379.0 1772.0 difficult
small-vehicle 1355.0 1756.0 1369.0 1774.0 difficult
small-vehicle 1346.0 1740.0 1361.0 1758.0 difficult
small-vehicle 1008.0 1788.0 1023.0 1811.0 difficult
small-vehicle 1001.0 1742.0 1016.0 1764.0 difficult
small-vehicle 889.0 1639.0 907.0 1648.0 difficult
small-vehicle 1009.0 1736.0 1024.0 1755.0 difficult
small-vehicle 990.0 1745.0 1006.0 1767.0 difficult
small-vehicle 1009.0 1764.0 1022.0 1783.0 difficult
small-vehicle 1286.0 1613.0 1305.0 1632.0 difficult
small-vehicle 1303.0 1605.0 1322.0 1623.0 difficult
small-vehicle 1317.0 1595.0 1336.0 1612.0 difficult
small-vehicle 1414.0 1530.0 1435.0 1547.0 difficult
small-vehicle 1306.0 1318.0 1324.0 1333.0 difficult
small-vehicle 1335.0 1346.0 1353.0 1364.0 difficult
small-vehicle 1910.0 557.0 1931.0 576.0 difficult
small-vehicle 944.0 712.0 964.0 730.0 difficult
small-vehicle 1017.0 592.0 1033.0 604.0 difficult
small-vehicle 1057.0 571.0 1077.0 584.0 difficult
small-vehicle 1061.0 563.0 1082.0 579.0 difficult
small-vehicle 1068.0 553.0 1086.0 567.0 difficult
small-vehicle 1074.0 545.0 1093.0 560.0 difficult
small-vehicle 1081.0 536.0 1102.0 553.0 difficult
small-vehicle 1192.0 435.0 1212.0 453.0 difficult
small-vehicle 1222.0 387.0 1241.0 404.0 difficult
small-vehicle 1999.0 419.0 2018.0 440.0 difficult
small-vehicle 2007.0 429.0 2024.0 447.0 difficult
small-vehicle 2019.0 431.0 2038.0 453.0 difficult
small-vehicle 2257.0 417.0 2275.0 431.0 difficult
small-vehicle 2285.0 364.0 2304.0 380.0 difficult
small-vehicle 2198.0 312.0 2216.0 328.0 difficult
small-vehicle 1866.0 531.0 1885.0 550.0 difficult
small-vehicle 1885.0 541.0 1901.0 562.0 difficult
small-vehicle 1898.0 547.0 1910.0 565.0 difficult
small-vehicle 972.0 576.0 990.0 592.0 difficult
small-vehicle 941.0 616.0 959.0 632.0 difficult
small-vehicle 935.0 623.0 953.0 640.0 difficult
small-vehicle 1060.0 649.0 1078.0 663.0 difficult
small-vehicle 969.0 671.0 986.0 687.0 difficult
small-vehicle 1032.0 691.0 1053.0 708.0 difficult
small-vehicle 1025.0 706.0 1042.0 720.0 difficult
small-vehicle 1021.0 714.0 1038.0 729.0 difficult
small-vehicle 1016.0 724.0 1031.0 739.0 difficult
small-vehicle 1051.0 667.0 1069.0 679.0 difficult
small-vehicle 1055.0 658.0 1073.0 671.0 difficult
small-vehicle 1063.0 641.0 1083.0 656.0 difficult
small-vehicle 930.0 644.0 949.0 661.0 difficult
small-vehicle 1066.0 632.0 1089.0 649.0 difficult
small-vehicle 1079.0 616.0 1099.0 632.0 difficult
small-vehicle 1085.0 609.0 1103.0 623.0 difficult
small-vehicle 1031.0 621.0 1048.0 635.0 difficult
small-vehicle 1034.0 612.0 1054.0 627.0 difficult
small-vehicle 921.0 662.0 937.0 676.0 difficult
small-vehicle 925.0 652.0 946.0 669.0 difficult
small-vehicle 1374.0 1796.0 1388.0 1813.0 difficult
small-vehicle 1435.0 1851.0 1450.0 1869.0 difficult
small-vehicle 1420.0 1862.0 1433.0 1878.0 difficult
small-vehicle 1410.0 1866.0 1425.0 1882.0 difficult
small-vehicle 1246.0 2602.0 1257.0 2621.0 difficult
small-vehicle 1222.0 2556.0 1235.0 2577.0 difficult
small-vehicle 1225.0 2582.0 1236.0 2601.0 difficult
small-vehicle 1097.0 2540.0 1112.0 2563.0 difficult
small-vehicle 1114.0 2537.0 1132.0 2556.0 difficult
small-vehicle 1133.0 2527.0 1154.0 2538.0 difficult
small-vehicle 1134.0 2518.0 1152.0 2526.0 difficult
small-vehicle 1254.0 2371.0 1278.0 2392.0 difficult
small-vehicle 1250.0 2407.0 1262.0 2426.0 difficult
small-vehicle 1248.0 2444.0 1257.0 2460.0 difficult
small-vehicle 1176.0 2519.0 1196.0 2533.0 difficult
small-vehicle 1170.0 2511.0 1192.0 2521.0 difficult
small-vehicle 1304.0 2350.0 1320.0 2362.0 difficult
small-vehicle 1328.0 2351.0 1349.0 2365.0 difficult
small-vehicle 1324.0 2335.0 1346.0 2349.0 difficult
small-vehicle 1325.0 2307.0 1352.0 2324.0 difficult
small-vehicle 1440.0 2267.0 1463.0 2287.0 difficult
small-vehicle 1248.0 2657.0 1261.0 2672.0 difficult
small-vehicle 1100.0 2647.0 1113.0 2660.0 difficult
small-vehicle 1086.0 2635.0 1107.0 2649.0 difficult
small-vehicle 1334.0 3340.0 1351.0 3361.0 difficult
small-vehicle 1274.0 3291.0 1292.0 3311.0 difficult
small-vehicle 1313.0 3274.0 1333.0 3288.0 difficult
small-vehicle 1330.0 3265.0 1349.0 3279.0 difficult
small-vehicle 1346.0 3251.0 1367.0 3268.0 difficult
small-vehicle 1531.0 3458.0 1547.0 3476.0 difficult
small-vehicle 1541.0 3479.0 1562.0 3502.0 difficult
small-vehicle 1467.0 3314.0 1485.0 3333.0 difficult
small-vehicle 1354.0 3111.0 1376.0 3128.0 difficult
small-vehicle 1050.0 2792.0 1072.0 2806.0 difficult
small-vehicle 1305.0 3117.0 1325.0 3128.0 difficult
small-vehicle 1408.0 3021.0 1426.0 3042.0 difficult
small-vehicle 1304.0 3026.0 1320.0 3044.0 difficult
small-vehicle 1187.0 2779.0 1207.0 2792.0 difficult
small-vehicle 1196.0 2765.0 1209.0 2781.0 difficult
small-vehicle 1120.0 2747.0 1136.0 2759.0 difficult
small-vehicle 1047.0 2749.0 1061.0 2767.0 difficult
small-vehicle 1395.0 2263.0 1410.0 2280.0 difficult
small-vehicle 1407.0 2259.0 1422.0 2277.0 difficult
small-vehicle 1558.0 2221.0 1577.0 2242.0 difficult
small-vehicle 1023.0 1958.0 1043.0 1971.0 difficult
small-vehicle 1108.0 2027.0 1123.0 2048.0 difficult
small-vehicle 1006.0 2021.0 1024.0 2039.0 difficult
small-vehicle 1041.0 2017.0 1057.0 2033.0 difficult
small-vehicle 1052.0 2029.0 1070.0 2047.0 difficult
small-vehicle 969.0 2012.0 989.0 2030.0 difficult
small-vehicle 1027.0 1992.0 1046.0 2008.0 difficult
small-vehicle 1024.0 1966.0 1043.0 1980.0 difficult
small-vehicle 1018.0 1950.0 1034.0 1963.0 difficult
small-vehicle 1466.0 2017.0 1481.0 2035.0 difficult
small-vehicle 994.0 1900.0 1015.0 1917.0 difficult
small-vehicle 1000.0 1907.0 1022.0 1924.0 difficult
small-vehicle 1441.0 1995.0 1455.0 2015.0 difficult
small-vehicle 1405.0 1936.0 1422.0 1958.0 difficult
small-vehicle 1535.0 2274.0 1558.0 2292.0 difficult
small-vehicle 1343.0 1924.0 1359.0 1935.0 difficult
small-vehicle 1395.0 1873.0 1410.0 1891.0 difficult
small-vehicle 1480.0 2028.0 1494.0 2046.0 difficult
small-vehicle 1503.0 2057.0 1520.0 2077.0 difficult
small-vehicle 1571.0 2221.0 1587.0 2239.0 difficult
small-vehicle 1580.0 2153.0 1596.0 2170.0 difficult
small-vehicle 1582.0 2219.0 1597.0 2237.0 difficult
small-vehicle 1162.0 2251.0 1173.0 2269.0 difficult
small-vehicle 999.0 2250.0 1026.0 2281.0 difficult
small-vehicle 1280.0 2296.0 1296.0 2316.0 difficult
small-vehicle 1287.0 2314.0 1301.0 2331.0 difficult
small-vehicle 1335.0 2188.0 1361.0 2201.0 difficult
small-vehicle 1408.0 2153.0 1417.0 2168.0 difficult
small-vehicle 1521.0 2168.0 1536.0 2188.0 difficult
small-vehicle 1554.0 2121.0 1569.0 2140.0 difficult
small-vehicle 1515.0 2228.0 1535.0 2244.0 difficult
small-vehicle 1474.0 2182.0 1493.0 2196.0 difficult
small-vehicle 1478.0 2092.0 1492.0 2111.0 difficult
small-vehicle 1496.0 2083.0 1510.0 2104.0 difficult
small-vehicle 1506.0 2080.0 1519.0 2101.0 difficult
small-vehicle 1523.0 2074.0 1538.0 2092.0 difficult
small-vehicle 1554.0 2102.0 1567.0 2119.0 difficult
small-vehicle 1903.0 552.0 1918.0 568.0 difficult
small-vehicle 1918.0 564.0 1937.0 581.0 difficult
small-vehicle 1956.0 2946.0 1978.0 2962.0 difficult
small-vehicle 4316.0 4352.0 4336.0 4370.0 difficult
swimming-pool 3920.0 1903.0 4101.0 2112.0
large-vehicle 3682.0 2873.0 3716.0 2896.0 difficult
large-vehicle 3712.0 2858.0 3742.0 2882.0 difficult
large-vehicle 3740.0 2843.0 3766.0 2863.0 difficult
small-vehicle 3438.0 3167.0 3458.0 3184.0 difficult
small-vehicle 3508.0 3222.0 3527.0 3240.0 difficult
small-vehicle 3460.0 3134.0 3480.0 3154.0 difficult
small-vehicle 3749.0 3424.0 3767.0 3443.0 difficult
small-vehicle 3858.0 3532.0 3886.0 3562.0 difficult
small-vehicle 3957.0 3702.0 3975.0 3722.0 difficult
small-vehicle 3983.0 3684.0 4001.0 3703.0 difficult
small-vehicle 4042.0 3661.0 4059.0 3678.0 difficult
large-vehicle 4088.0 3811.0 4147.0 3871.0 difficult
small-vehicle 4110.0 3889.0 4128.0 3907.0 difficult
small-vehicle 4216.0 3961.0 4247.0 3991.0 difficult
small-vehicle 4321.0 4082.0 4342.0 4100.0 difficult
small-vehicle 4319.0 4097.0 4337.0 4114.0 difficult
swimming-pool 3819.0 1766.0 3941.0 1837.0
small-vehicle 3608.0 1365.0 3625.0 1381.0 difficult
small-vehicle 3205.0 1482.0 3221.0 1503.0 difficult
small-vehicle 2233.0 2034.0 2248.0 2054.0 difficult
small-vehicle 2190.0 2116.0 2204.0 2134.0 difficult
small-vehicle 2197.0 2131.0 2214.0 2150.0 difficult
small-vehicle 2205.0 2150.0 2222.0 2168.0 difficult
small-vehicle 2225.0 2184.0 2240.0 2205.0 difficult
small-vehicle 2191.0 1958.0 2206.0 1976.0 difficult
small-vehicle 2212.0 1998.0 2228.0 2018.0 difficult
small-vehicle 2221.0 2015.0 2238.0 2038.0 difficult
small-vehicle 2238.0 2049.0 2254.0 2067.0 difficult
small-vehicle 3196.0 1030.0 3212.0 1047.0 difficult
small-vehicle 2464.0 473.0 2480.0 490.0 difficult
small-vehicle 2511.0 499.0 2534.0 520.0 difficult
small-vehicle 2537.0 517.0 2555.0 530.0 difficult
small-vehicle 2578.0 537.0 2597.0 554.0 difficult
small-vehicle 2538.0 602.0 2559.0 618.0 difficult
small-vehicle 2766.0 694.0 2781.0 720.0 difficult
small-vehicle 2895.0 771.0 2914.0 789.0 difficult
small-vehicle 4374.0 4418.0 4393.0 4435.0 difficult
small-vehicle 4315.0 4401.0 4334.0 4419.0 difficult
small-vehicle 1929.0 569.0 1946.0 588.0 difficult
small-vehicle 4280.0 4336.0 4301.0 4356.0 difficult
small-vehicle 1979.0 3193.0 2000.0 3202.0 difficult
small-vehicle 1957.0 3213.0 1980.0 3229.0 difficult
small-vehicle 1819.0 3247.0 1838.0 3263.0 difficult
small-vehicle 1820.0 3274.0 1837.0 3289.0 difficult
small-vehicle 1761.0 3291.0 1783.0 3307.0 difficult
small-vehicle 1642.0 3337.0 1662.0 3352.0 difficult
small-vehicle 1908.0 3033.0 1926.0 3049.0 difficult
small-vehicle 1914.0 3024.0 1936.0 3043.0 difficult
small-vehicle 1532.0 2961.0 1544.0 2984.0 difficult
small-vehicle 1544.0 2960.0 1556.0 2983.0 difficult
small-vehicle 1923.0 3016.0 1943.0 3036.0 difficult
small-vehicle 1932.0 3008.0 1952.0 3027.0 difficult
small-vehicle 1938.0 3002.0 1962.0 3021.0 difficult
small-vehicle 1961.0 2992.0 1976.0 3012.0 difficult
small-vehicle 1972.0 2974.0 1993.0 2989.0 difficult
small-vehicle 1994.0 2970.0 2011.0 2991.0 difficult
small-vehicle 1868.0 3038.0 1885.0 3055.0 difficult
small-vehicle 1884.0 3170.0 1908.0 3187.0 difficult
small-vehicle 1947.0 3144.0 1967.0 3160.0 difficult
small-vehicle 2016.0 3153.0 2038.0 3170.0 difficult
large-vehicle 4165.0 4297.0 4228.0 4351.0 difficult
small-vehicle 4265.0 4309.0 4285.0 4328.0 difficult
small-vehicle 4201.0 4309.0 4226.0 4331.0 difficult
small-vehicle 4212.0 4286.0 4232.0 4301.0 difficult
small-vehicle 4182.0 4276.0 4203.0 4294.0 difficult
small-vehicle 4181.0 4256.0 4199.0 4273.0 difficult
small-vehicle 4105.0 4241.0 4126.0 4259.0 difficult
small-vehicle 4131.0 4218.0 4151.0 4236.0 difficult
large-vehicle 4027.0 4186.0 4066.0 4216.0 difficult
small-vehicle 2057.0 3147.0 2080.0 3163.0 difficult
large-vehicle 1643.0 3676.0 1684.0 3716.0 difficult
large-vehicle 1814.0 3404.0 1853.0 3439.0 difficult
small-vehicle 1970.0 3091.0 1987.0 3105.0 difficult
small-vehicle 2002.0 3112.0 2026.0 3129.0 difficult
small-vehicle 2043.0 3103.0 2062.0 3118.0 difficult
small-vehicle 2113.0 3078.0 2133.0 3089.0 difficult
small-vehicle 2027.0 3123.0 2048.0 3140.0 difficult
small-vehicle 2178.0 2100.0 2195.0 2119.0 difficult
small-vehicle 2170.0 2079.0 2187.0 2100.0 difficult
small-vehicle 2155.0 2055.0 2174.0 2076.0 difficult
small-vehicle 2149.0 2038.0 2165.0 2058.0 difficult
small-vehicle 2063.0 708.0 2080.0 728.0 difficult
small-vehicle 2055.0 703.0 2073.0 721.0 difficult
small-vehicle 2038.0 692.0 2055.0 714.0 difficult
small-vehicle 2030.0 685.0 2049.0 707.0 difficult
small-vehicle 1941.0 865.0 1961.0 883.0 difficult
small-vehicle 1935.0 873.0 1953.0 890.0 difficult
small-vehicle 1928.0 886.0 1949.0 902.0 difficult
small-vehicle 1926.0 902.0 1943.0 911.0 difficult
small-vehicle 1923.0 914.0 1943.0 922.0 difficult
small-vehicle 1925.0 920.0 1944.0 931.0 difficult
small-vehicle 1927.0 940.0 1944.0 950.0 difficult
small-vehicle 1918.0 950.0 1936.0 960.0 difficult
small-vehicle 1922.0 963.0 1938.0 971.0 difficult
small-vehicle 1924.0 972.0 1941.0 981.0 difficult
small-vehicle 1925.0 982.0 1942.0 991.0 difficult
small-vehicle 1960.0 943.0 1980.0 956.0 difficult
small-vehicle 1961.0 936.0 1982.0 945.0 difficult
small-vehicle 2084.0 721.0 2103.0 741.0 difficult
small-vehicle 2106.0 680.0 2124.0 703.0 difficult
